source_text,model,temperature,top_k_rerank,think,inference_type,total_entities,duration_seconds,datetime,count_errors,count_skipped,count_linked_wd,count_linked_gn,count_linked_both,count_linked_neither,wd_p,wd_r,wd_f1,gn_p,gn_r,gn_f1,combined_p,combined_r,combined_f1,nil_p,nil_r,nil_f1,nil_wd_p,nil_wd_r,nil_wd_f1,nil_gn_p,nil_gn_r,nil_gn_f1
1816_el_gs,deepseek-v4-flash,0.1,3,high,cloud,315,8245.1,2026-06-27 21:36:16,0,0,106,36,29,57,0.7264,0.8280,0.7739,0.4722,0.2500,0.3269,0.7358,0.8387,0.7839,0.8596,0.6364,0.7313,0.8594,0.7143,0.7801,0.6866,0.9020,0.7797
1816_el_gs,deepseek-v4-flash,0.1,3,low,cloud,315,9256.6,2026-06-27 21:36:16,0,0,106,39,31,56,0.6887,0.7849,0.7337,0.4359,0.2500,0.3178,0.7115,0.7957,0.7513,0.8393,0.6104,0.7068,0.8438,0.7013,0.7660,0.6870,0.8824,0.7725
1816_el_gs,deepseek-v4-flash,0.1,3,medium,cloud,315,8780.6,2026-06-27 21:36:16,0,0,106,48,34,50,0.7170,0.8172,0.7638,0.3750,0.2647,0.3103,0.6875,0.8280,0.7512,0.8400,0.5455,0.6614,0.8594,0.7143,0.7801,0.6557,0.7843,0.7143
1816_el_gs,gemma4:31b,0.1,3,high,cloud,315,11983.3,2026-06-27 21:36:16,0,0,89,38,32,75,0.7753,0.7419,0.7582,0.5789,0.3235,0.4151,0.8372,0.7742,0.8045,0.8400,0.8182,0.8289,0.8148,0.8571,0.8354,0.7273,0.9412,0.8205
1816_el_gs,gemma4:31b,0.1,3,low,cloud,315,20410.5,2026-06-27 21:36:16,0,0,88,33,31,80,0.7841,0.7419,0.7624,0.5758,0.2794,0.3762,0.8434,0.7527,0.7955,0.8000,0.8312,0.8153,0.7927,0.8442,0.8176,0.7226,0.9706,0.8285
1816_el_gs,gemma4:31b,0.1,3,medium,cloud,315,16549.8,2026-06-27 21:36:16,1,0,86,37,30,77,0.7931,0.7419,0.7667,0.5676,0.3088,0.4000,0.8765,0.7634,0.8161,0.8701,0.8701,0.8701,0.8193,0.8831,0.8500,0.7368,0.9608,0.8340
1816_el_gs,kimi-k2.7-code,0.1,3,high,cloud,315,15611.7,2026-06-27 21:36:17,1,0,122,61,49,36,0.5492,0.7204,0.6233,0.3710,0.3382,0.3538,0.5965,0.7312,0.6570,0.8611,0.4026,0.5487,0.8333,0.5195,0.6400,0.7037,0.7451,0.7238
1816_el_gs,kimi-k2.7-code,0.1,3,low,cloud,315,20401.2,2026-06-27 21:36:17,0,0,113,56,39,40,0.6106,0.7419,0.6699,0.3750,0.3088,0.3387,0.6283,0.7634,0.6893,0.8750,0.4545,0.5983,0.8070,0.5974,0.6866,0.7105,0.7941,0.7500
1816_el_gs,kimi-k2.7-code,0.1,3,medium,cloud,315,18496.8,2026-06-27 21:36:17,1,0,110,57,41,44,0.6396,0.7634,0.6961,0.4211,0.3529,0.3840,0.6549,0.7957,0.7184,0.8636,0.4935,0.6281,0.8305,0.6364,0.7206,0.7080,0.7843,0.7442
