source_text,model,temperature,top_k_rerank,think,inference_type,total_entities,duration_seconds,datetime,count_errors,count_skipped,count_linked_wd,count_linked_gn,count_linked_both,count_linked_neither,wd_p,wd_r,wd_f1,gn_p,gn_r,gn_f1,combined_p,combined_r,combined_f1,nil_p,nil_r,nil_f1,nil_wd_p,nil_wd_r,nil_wd_f1,nil_gn_p,nil_gn_r,nil_gn_f1
1816_el_gs,cogito-2.1:671b,0.0,3,false,cloud,315,156.3,2026-06-27 18:26:02,102,0,0,0,0,170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6324,0.5584,0.5931,0.6324,0.5584,0.5931,0.6000,1.0000,0.7500
1816_el_gs,deepseek-v4-flash,0.0,3,false,cloud,315,1500.8,2026-06-27 18:26:07,0,0,115,72,64,47,0.5826,0.7204,0.6442,0.2361,0.2500,0.2429,0.6635,0.7419,0.7005,0.8936,0.5455,0.6774,0.8545,0.6104,0.7121,0.8163,0.7843,0.8000
1816_el_gs,deepseek-v4-pro,0.0,3,false,cloud,315,1257.8,2026-06-27 18:26:12,0,0,121,78,66,37,0.5950,0.7742,0.6729,0.2564,0.2941,0.2740,0.5984,0.7849,0.6791,0.7568,0.3636,0.4912,0.8163,0.5195,0.6349,0.7826,0.7059,0.7423
1816_el_gs,gemma4:31b,0.0,3,false,cloud,315,1388.0,2026-06-27 18:26:16,0,0,85,37,32,80,0.8000,0.7312,0.7640,0.5676,0.3088,0.4000,0.8642,0.7527,0.8046,0.8250,0.8571,0.8408,0.8000,0.8831,0.8395,0.7368,0.9608,0.8340
1816_el_gs,glm-5.1,0.0,3,false,cloud,315,1559.9,2026-06-27 18:26:21,0,0,131,111,92,20,0.5725,0.8065,0.6696,0.1982,0.3235,0.2458,0.5630,0.8172,0.6667,0.9000,0.2338,0.3711,0.8974,0.4545,0.6034,0.7966,0.4608,0.5839
1816_el_gs,kimi-k2.7-code,0.0,3,false,cloud,315,1405.3,2026-06-27 18:26:26,0,0,129,86,69,24,0.5271,0.7312,0.6126,0.2326,0.2941,0.2597,0.5476,0.7419,0.6301,0.8333,0.2597,0.3960,0.8780,0.4675,0.6102,0.6786,0.5588,0.6129
1816_el_gs,mistral-large-3:675b,0.0,3,false,cloud,315,10571.0,2026-06-27 18:26:31,5,0,113,69,58,46,0.5752,0.6989,0.6311,0.2568,0.2794,0.2676,0.5841,0.7097,0.6408,0.7143,0.3896,0.5042,0.7193,0.5325,0.6119,0.7500,0.7059,0.7273
1816_el_gs,qwen3.5:397b,0.0,3,false,cloud,315,2370.9,2026-06-27 18:26:36,0,0,93,26,23,74,0.6989,0.6989,0.6989,0.6538,0.2500,0.3617,0.7614,0.7204,0.7403,0.7568,0.7273,0.7417,0.7662,0.7662,0.7662,0.6736,0.9510,0.78861816_el_gs,gemma4:31b,0.0,3,false,local,315,2145.3,2026-06-28 11:46:59,0,162,87,45,34,250,0.7241,0.6774,0.7000,0.4444,0.2941,0.3540,0.7471,0.6989,0.7222,0.9247,0.9198,0.9223,0.9026,0.9412,0.9215,0.8523,0.9528,0.8998
