label,strict_p,strict_r,strict_f1,relaxed_p,relaxed_r,relaxed_f1,count_tp,count_fp,count_fn
E18_Physical_Thing,0.0,0.0,0.0,0.0,0.0,0.0,,,
E19_Physical_Object,0.0,0.0,0.0,0.0,0.0,0.0,,,
E20_Biological_Object,0.0,0.0,0.0,0.0,0.0,0.0,,,
E31_Document,0.0,0.0,0.0,0.0,0.0,0.0,,,
E52_Time_Span,0.714,0.172,0.278,1.0,0.241,0.389,,,
E53_Place,0.902,0.343,0.497,0.943,0.463,0.621,,,
F2_Expression,0.0,0.0,0.0,0.0,0.0,0.0,,,
Mode_of_Transportation,0.0,0.0,0.0,0.0,0.0,0.0,,,
OVERALL,0.857,0.134,0.231,0.934,0.181,0.303,44.0,4.0,271.0
